YEAR,BEST ORIGINAL SONG,URI,WON (yes=1 no=0),Notes,Lyrics
2013,The Moon Song,2tr9JHGOa5ZRar7IedAiQc,0,,"I'm lying on the moon
My dear, I'll be there soon
It's a quiet and starry place
Time's we're swallowed up
In space we're here a million miles away
There's things I wish I knew
There's no thing I'd keep from you
It's a dark and shiny place
But with you my dear
I'm safe and we're a million miles away
We're lying on the moon
It's a perfect afternoon
Your shadow follows me all day
Making sure that I'm
Okay and we're a million miles away"
2013,Ordinary Love,5K8cyMKcnG4rx5ocW3u7OW,0,,"The sea wants to kiss the golden shore
The sunlight warms your skin
All the beauty that's been lost before
Wants to find us again
I can't fight you anymore
It's you I'm fighting for
The sea throws rock together
But time leaves us polished stones
We can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love
Birds fly high in the summer sky
And rest on the breeze
The same wind will take care of you and I
We'll build our house in the trees
Your heart is on my sleeve
Did you put there with a magic marker
For years I would believe
That the world couldn't wash it away
'Cause we can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love
'Cause we can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love
We can't fall any further
If we can't feel ordinary love
And we cannot reach any higher
If we can't deal with ordinary love
Oh oh oh 
Oh oh oh 
Are we tougher enough for ordinary love?
Are we tougher enough for ordinary love?
Are we tougher enough for ordinary love?"
2012,Skyfall,6VObnIkLVruX4UVyxWhlqm,1,,"This is the end
Hold your breath and count to ten
Feel the earth move and then
Hear my heart burst again
For this is the end
I've drowned and dreamt this moment
So overdue I owe them
Swept away, I'm stolen
Let the sky fall
When it crumbles
We will stand tall
Face it all together
Let the sky fall
When it crumbles
We will stand tall
Face it all together
At skyfall
At skyfall
Skyfall is where we start
A thousand miles and poles apart
Where worlds collide and days are dark
You may have my number, you can take my name
But you'll never have my heart
Let the sky fall
When it crumbles
We will stand tall
Face it all together
Let the sky fall
When it crumbles
We will stand tall
Face it all together
At skyfall
Where you go I go
What you see I see
I know I'd never be me
Without the security
Of your loving arms
Keeping me from harm
Put your hand in my hand
And we'll stand
Let the sky fall
When it crumbles
We will stand tall
Face it all together
Let the sky fall
When it crumbles
We will stand tall
Face it all together
At skyfall
Let the sky fall
We will stand tall
At skyfall"
2012,Before My Time,1AFhpXt3ZLTVXal8q4VQcO,0,,"Cold feet, don't fail me now
So much left to do
If I should run ten thousand miles home
Would you be there?
Just a taste of things to come
I still smile
But I don't want to die alone
I don't want to die alone
Way before my time
Keep calm and carry on
No worse for the wear
I don't want to die alone
I don't want to die alone
Way before my time
Is it any wonder
All this empty air
I'm drowning in the laughter
Way before my time has come"
2012,Suddenly,7yXL9VSv7OTTLl3Bv6cA5C,0,,"Suddenly I see
Suddenly it starts
Can two anxious hearts beat as one?
Yesterday I was alone
Today you walk beside me
Something still unclear
Something not yet here has begun.
Suddenly the world
Seems a different place
Somehow full of grace and delight.
How was I to know that so much hope was held inside me?
What has passed is gone
Now we journey on through the night
How was I to know at last that happiness can come so fast?
Trusting me the way you do
I'm so afraid of failing you
Just a child who cannot know that danger follows where I go
There are shadows everywhere
And memories I cannot share
Nevermore alone
Nevermore apart
You have warmed my heart like the sun.
You have brought the gift of life
And love so long denied me.
Suddenly I see
What I could not see
Something suddenly
Has begun."
2012,Pi's Lullaby,60AU6943h10TVKcXFSc51D,0,,"Kanne... Kanmaniye
Kannurangai... Poove
Mayilo, togai mayilo
Kuyilo, koovum kuyilo
Nilavo, nilavin oyilo
Imaiyo, imaiyin kanavo
Ra ra ro... mmm... Ra ra ro...
Ra ra ro... mmm... Ra ra ro...
Mmm... mmm... mmm... mmm...
Mmm... mmm... mmm... mmm...
Malaro, malarin amudho,
Kaniyo, senkaniyin suvaiyo
Ra ra ro... Ra ra ro...
Mmm... mmm... mmm... mmm...
Mmm... mmm... mmm... mmm...
Oh my love
Oh the delight of my eyes
Would you not sleep my love?
Are you the peacock or the plumage of the peacock?
Are you the cuckoo or the cry of the cuckoo?
Are you the moon or the light of the moon?
Are you the eyelashes, or the dream?
Are you the flower or the nectar?
Are you the fruit or the sweetness?"
2012,Everybody Needs a Best Friend,0VY6xaQmUPA3IbZfvGSgpU,0,,"My words are lazy
My thoughts are hazy
But this is one thing I'm sure of
Everybody needs a best friend
I'm happy I'm yours
You got a double
Who brings you trouble
And though you're better without me
Everybody needs a best friend
I'm happy I'm yours
A fool could see decidedly
That you're a ten and I'm a three
A royal breed is what you need
So how did you come to be stuck with a bummer like me?
You got a head full of someone dreadful
But how that someone adores you
Everybody needs a best friend
I'm happy I'm yours
A fool could see decidedly
That you're a ten and I'm a three
A royal breed is what you need
So how did you come to be stuck with a bummer like me?
Oh, you got a head full of someone dreadful
And yet alas, that someone adores you
Everybody needs a best friend
I'm happy I'm yours
I'm just a clown
And I'll bring you down
But you just don't care
'Cause your
Best friend is me"
2011,Man or Muppet,1JyG5yuwpN0VIi4wbqvDfB,1,,"I reflect on my reflection
And I ask myself the question
What's the right direction to go
I don't know
Am I a man or am I a muppet
If I'm a muppet then I'm a very manly muppet
Am I a muppet or am I a man
If I'm a man that makes me a muppet of a man
I look into these eyes
And I don't recognize
The one I see inside
It's time for me to decide
Am I a man or am I a muppet
If I'm a muppet oh I'm a very manly muppet
Am I a muppet or am I a man
If I'm a man that makes me a muppet of a man
Here I go again
I'm always running out of time
I think I've made up my mind
Now I understand who I am
I'm a man
I'm a muppet
I'm a muppet of a man
I'm a very manly muppet
I'm a muppet of a man
That's what I am"
2011,Real in Rio,3qytQlsWcXeVQ2gR2mx8VI,0,,"All the birds of a feather
Do what they love most of all
We are the best at rhythm and laughter
That's why we love carnival
All so free we can sing to
Sun and beaches, they call
Dance to the music, passion and love
Show us the best you can do
Everyone here is on fire
Get up and join in the fun
Dance with a stranger, romance and danger
Magic could happen for real in Rio
All by itself (itself), you can't see it coming
You can't find it anywhere else
It's real in Rio, know something else (something else)
You can feel it happen, you can feel it all by yourself
All the birds of a feather
Do what they love most of all
Moon and the stars, strumming guitars
That's why we love carnival
Loving our life in the jungle
Everything's wild and free
Never alone 'cause this is our home
Magic can happen for real in Rio
All by itself (by itself), you can't see it coming
You can't find it anywhere else
I'm the capoeira kinga, kinga, kinga, kinga (kinga)
Birds like me 'cause I'm a hot winga
There's your hot winga
Here everybody loves samba (I like the samba)
Rhythm you feel in your heart (I'm the samba master)
Beauty and love, what more could you want?
Everything can be for real in Rio
Here's something else (something else)
You just feel it happening
You won't find it anywhere else"
2010,We Belong Together,3fazam52RUALaUhR6cDadU,1,,"Don't you turn your back on me
Don't you walk away
Don't you tell me I don't care, cause I do
Don't you tell me I'm not the one
Don't you tell me I ain't no fun
Just tell me you love me like I love you, you know you do
When we're together, gray skies clear up
And I cheer, to where I'm less depressed
It's sincerer from the bottom of my heart
I just can't take it when we're apart
We belong together
We belong together
Yes we do
You'll be mine forever
We belong together
We belong together
Oh, it's true
It's gonna stay this way forever
Me and you
If I could really talk to you
If I could find a way
I'm not shy, there's a whole lot I wanna say
Of course there is
Talk about friendship and loyalty
Talk about how much you mean to me
And I promise to always be be your side
Whenever you need me
The day that I met you
Was the luckiest day of my life
And I bet you feel the same
At least, I hope you do!
So don't forget me
If the future should take you away
So that you'll always be
Part of me
We belong together
We belong together
Wait and see
S'gon be this way forever
We belong together
We belong together, honestly
We'll go on this way forever
Me and you
You and me"
2010,If I Rise,5o51cI5TMFPjH8x0IEtNN3,0,,"In your life, your mad
In your car, your sad
O’ your taller now I’ve found
Hold your fire course
O’ your fallen out
Go and sow your courses
If I rise, they are on my drive
If I believe, it’s more than it is
More than it is
If I rise, one more chance
All our dreams, more than this
O’ your taller now I’ve found
Hold your fire course
O’ your fallen out
Go and sow your courses
If I rise, they are on my drive
If I believe, it’s more than it is
It’s more than it is
If I thought I wanted more
Get the life more
Just one more call
Though I’ve never lost
Believe I don’t care
Never again
If I rise, they are on my drive
If I believe, it’s more than it is
It’s more than it is
If I thought I wanted more
Get the life more
Just one more call
If I believe, there’s more than this
Anymore than this"
2010,Coming Home,2EO8RTK0mlXbj2a6uItjCV,0,,"It's a four letter word
a place you go to heal your hurt
It's an alter, it's a shelter
One place you're always welcome
a pink flamingo, double wide
One bedroom in a high rise
a mansion on a hill
Where the memories always will
keep you company
whenever you're alone
after all of my running
I'm finally coming

Home
The world tried to break me
I found a road to take me
Home
There ain't nothing but a blue sky now
After all of my running
I'm finally coming
Home

Well they say its where the heart is
and I guess the hardest part is
when your heart is broken
and you're lost out in the great wide open
looking for a map
finding your way back
to where you belong
well that's where I belong

Home
The world tried to break me
I found a road to take me
Home
There ain't nothing but a blue sky now
After all of my running
I'm finally coming
Home

Home
Home

Home
The world tried to break me
I found a road to take me
Home
There ain't nothing but a blue sky now
After all of my running
I'm finally coming
After all of my running
I'm finally coming
Home"
2010,I See the Light,6klpXs2uAjagnZMFkt4qkl,0,,"All those days watching from the windows
All those years outside looking in
All that time never even knowing
Just how blind I've been
Now I'm here blinking in the starlight
Now I'm here suddenly I see
Standing here it's all so clear
I'm where I'm meant to be
And at last I see the light
And it's like the fog has lifted
And at last I see the light
And it's like the sky is new
And it's warm and real and bright
And the world has somehow shifted
All at once everything looks different
Now that I see you
All those days chasing down a daydream
All those years living in a blur
All that time never truly seeing
Things, the way they were
Now she's here shining in the starlight
Now she's here suddenly I know
If she's here it's crystal clear
I'm where I'm meant to go
And at last I see the light
And it's like the fog has lifted
And at last I see the light
And it's like the sky is new
And it's warm and real and bright
And the world has somehow shifted
All at once everything is different
Now that I see you
Now that I see you"
2009,The Weary Kind,4RNWtg4RBgomLc5evNQCsi,1,,"Your heart's on the loose
You rolled them seven's with nothing to lose
This ain't no place for the weary kind
You called all your shots
Shooting 8 ball at the corner truck stop
Somehow this don't feel like home anymore
And this ain't no place for the weary kind
This ain't no place to lose your mind
This ain't no place to fall behind
Pick up your crazy heart and give it one more try
Your body aches
Playing your guitar and sweating out the hate
The days and the nights all feel the same
Whiskey has been a thorn in your side
It doesn't forget
The highway that calls for your heart inside
And this ain't no place for the weary kind
This ain't no place to lose your mind
This ain't no place to fall behind
Pick up your crazy heart and give it one more try
Your lover's warm kiss
Is too damn far from your fingertips
You are the man that ruined her world
Your heart's on the loose
You rolled them seven's with nothing to lose
And this ain't no place for the weary kind"
2009,Take It All,3ltaJyEWQ0P2pfOpVtab1Q,0,,You want my love Take it all You want to watch it all come off Take it all Come on now Show me how You take it all You want my glove Are you enthralled You want to see it slip away and watch it fall Oh we know Its your show So take it all You want the movement to See what the hips can do Come watch the slinky girl See how the pasties twirl To make your bells all ring Fulfilling everything you ever wanted So go ahead Take it all You want my soul Take it all Its time to leave If I'm to live Because I have no more There's nothing left to give I watch you rise I watch you fall While I am standing with my back against the wall Now its your turn to finally learn You had the world You had your fling You wanted more than everything You got your wish You got your prize Now take it right between your thighs You grabbed for everything my friend But don't you see that in the end There will be nothing left of me
2009,Loin de Paname,6bxg2QzY1y92PNQ9JG4s7P,0,,"Me as soon as I'm far from Paname 
Moi dès que je suis loin de Paname 

My lungs are out of breath 
J'ai les poumons tout essoufflés 

My heart is puffed up with tears 
J'ai le cœur bouffé par plein de larmes 

And the body like any exile
Et le corps comme tout exilé
The farthest I have gone is the Marne 
Le plus loin qu’j’sois allé c'est la Marne 

It was to follow a little crush 
C'était pour suivre un petit béguin 

Me as soon as there is no more din 
Moi dès qu'il n'y a plus de vacarme 

I'm bored, the silence is worth nothing to me
J'm'ennuie, l'silence ne m'vaut rien
Paris, Paris 
Paris, Paris 

You're my only family 
T'es ma seule famille 

Paris, Paris 
Paris, Paris 

It's up to you that my heart shines 
Y'a qu'chez toi qu'mon cœur brille 

Paris if I don't see you right now 
Paris si j'te r’vois pas dès d'main 

Paris, I'm going to die 
Paris, je vais mourir 

Grief microbes
De microbes chagrin
Paris, Paris 
Paris, Paris 

All the time you twist me 
Tout l'temps tu m'entortilles 

Paris, Paris 
Paris, Paris 

I dream that you undress me 
Je rêve qu'tu m'déshabilles 

Paris if I don't see you right now 
Paris si j'te r'vois pas dès d'main 

Paris, I'm going to die 
Paris, je vais mourir 

Grief microbes
De microbes chagrin
What it's good for each terrace 
Ce qu'il fait bon à chaque terrasse 

Boul'vard Nouvelle and Italiens 
Boul'vard Nouvelle et Italiens 

Where we little guys when we go 
Là où nous les p’tits mecs quand on passe 

We drink like urban coolers
Nous boivent comme panachés urbain
In my little room on the sixth floor 
Dans ma petite chambre au sixième 

I'm waiting to be pampered 
J'attends qu'on vienne me dorloter 

Say Paris it's always you that I love 
Dis Paris c'est toujours toi que j'aime 

But who will replace you
Mais qui va te remplacer
Paris, Paris 
Paris, Paris 

You're my only family 
T'es ma seule famille 

Paris, Paris 
Paris, Paris 

It's up to you that my heart shines 
Y'a qu'chez toi qu'mon cœur brille 

Paris if I don't see you right now 
Paris si j'te r’vois pas dès d'main 

Paris, I'm going to die 
Paris, je vais mourir 

Grief microbes
De microbes chagrin
Paris, Paris 
Paris, Paris 

All the time you twist me 
Tout l'temps tu m'entortilles 

Paris, Paris 
Paris, Paris 

I dream that you undress me 
Je rêve qu'tu m'déshabilles 

Paris if I don't see you right now 
Paris si j'te r'vois pas dès d'main 

Paris, I'm going to die 
Paris, je vais mourir 

Grief microbes
De microbes chagrin"
2009,Almost There,2GLyruWagsv8o7aGNXboH1,0,,"I don't have time for dancin'
That's just gonna have to wait a while
Ain't got time for messin' around
And it's not my style
This whole town can slow you down
People takin' the easy way
But I know exactly where I am going
Gettin closer 'n closer every day
And I am almost there
I'm almost there
People down here think I'm crazy
But I don't care
Trials and tribulations
I've had my share
There ain't nothin' gonna stop me now
'Cause I'ma almost there
I remember Daddy told me
Fairy tales can come true
You gotta make 'em happen
It all depends on you
So I work real hard each and every day
Now things for sure are going my way
Just doing what I do
Look out Boys I'm coming through
And I'm almost there
I'm almost there
People gonna come here from everywhere
And I'm almost there
I'm almost there
There's been trials and tribulations
You know I've had my share
But I've climbed a mountain
I've crossed a river
And I'm almost there
I'm almost there
I'm almost there"
2009,Down in New Orleans,4tCdoXt7EiwZZhMevxmY8u,0,,"In the South Land there's a city
Way down on the river
Where the women are very pretty
And all the men deliver
They got music
It's always playin'
Start in the day time, go all through the night
When you hear that music playin'
Hear what I'm saying, it make you feel alright
Grab somebody, come on down
Bring your paintbrush, we're paintin' the town
Honey, there's some sweetness goin' 'round
Catch it down in New Orleans
We got magic, good and bad
Make you happy or make you real sad
Get everything you want, lose what you had
Down here in New Orleans
Hey partner, don't be shy
Come on down here and give us a try
You wanna do some livin' before you die
Do it down in New Orleans
Stately homes and mansions
Of the Sugar Barons and the Cotton Kings
Rich people, poor people, all got dreams
Dreams do come true in New Orleans"
2008,Jai Ho,4i3MgUew8ynhf49Qwr4IP4,1,,"i got (i got) shivers (shivers)
when you touch that way
i'll make you hot
get what you got
i'll make you wanna say (jai ho)
i got (i got) fever (fever)
running like a fire
for you i will go all the way
i wanna take you higher (jai ho)
i keep it steady uh-steady
that's how i do it.
this beat is heavy, so heavy
you gonna feel it.
you are the reason that i breathe
you are the reason that i still believe
you are my destiny
jai ho! oh-oh-oh-oh!
no there is nothing that can stop us
nothing can ever come between us
so come and dance with me
jai ho! (oohh)
catch me, catch me, catch me, c'mon, catch me
i want you now
i know you can save me, you can save me
i need you now.
i am yours forever, yes, forever
i will follow
anywhere in anyway
never gonna let go.
escape (escape) away (away)
i'll take you to a place
this fantasy of you and me
i'll never lose my chance. (jai ho)
yeaahhhh
i can (i can) feel you (feel you)
rushing through my veins
there's an ocean in my heart
i will never be the same. (jai ho)
just keep it burnin', yeah baby
just keep it comin'
you're gonna find out baby
i'm one in a million.
you are the reason that i breathe
you are the reason that i still believe
you are my destiny
jai ho! oh-oh-oh-oh!
no there is nothing that can stop us
nothing can ever come between us
so come and dance with me
jai ho! (oohh)
catch me, catch me, catch me, c'mon, catch me
i want you now
i know you can save me, you can save me
i need you now.
i am yours forever, yes, forever
i will follow
anywhere in anyway
never gonna let go.
i need you
gonna make it
i'm ready
so take it!
you are the reason that i breathe
you are the reason that i still believe
you are my destiny
jai ho! oh-oh-oh-oh!
no there is nothing that can stop us
nothing can ever come between us
so come and dance with me
jai ho! (oohh)
jai ho!
baila baila!
baila baila
jai ho!
baila baila
jai ho"
2008,O…Saya,6WB2gOYkn8VlLGiStQLczC,0,,"O, saya
Yero mayo
Aaa rooo a yooo
O, saya
Yero mayo
Aaa rooo a yooo
Aaa roha mazoo mayoo
Hey aaa yoo
They can't touch me, we break off
Run so fast they can't even touch me
Been that gypsy
Touch me, I'll show you gypsy my zig zag quickly
Pick up that pack on my journey
Don't suddenly start to follow me
I am in a luck, some days they suck
When we live by the buck, we get for the family
One day I wanna be a star
So I get to hang in a bar
I'll go to Vegas with the playas
Just to forget my scars
Ek, do, teen, char, panch, cheh, saath
Aat, nau, das, gyarah, barah, terah
Street shops have made me shifty
Like a ninja with speed I am nifty
I hope I live till I am fifty
See my city go from gritty to pretty
O, saya
O, saya
O, saya
O, saya
O, saya
O, saya
O, saya
O, saya
Don't start to follow me
To hang in a bar
I wanna be a star
Pick up that pack on my journey
Don't start to follow me
Wanna be a star
O, saya
Pick up that pack on my journey
O, saya
Start to follow me
O, saya
Ek, do, teen, char, panch, cheh, saath
Aat, nau, das, gyarah, barah, terah"
2008,Down to Earth,0zM9DHPrxGo9ZCUjlfqhvu,0,,"Did you think that your feet had been bound
By what gravity brings to the ground?
Did you feel you were tricked
By the future you picked?
Well, come on down
All these rules don't apply
When you're high in the sky
So come on down
Come on down
We're coming down to the ground
There's no better place to go
We've got snow upon the mountains
We've got rivers down below
We're coming down to the ground
To hear the birds sing in the trees
And the land will be looked after
We'll send the seeds out in the breeze
Did you think you'd escaped from routine
By changing the script and the scene?
Despite all you made of it
You're always afraid of the change
You've got a lot on your chest
Well you can come as my guest
So come on down
Come on down
We're coming down to the ground
There's no better place to go
We've got snow upon the mountains
We've got rivers down below
We're coming down to the ground
We'll hear the birds sing in the trees
And the land will be looked after
We'll send the seeds out in the breeze
Like the fish in the ocean
We felt at home in the sea
We learned to live off the good land
We learned to climb up a tree
Then we got up on two legs
But we wanted to fly
And when we messed up our homeland
We set sail for the sky.
We're coming down to the ground
There's no better place to go
We've got snow upon the mountains
We got rivers down below
We're coming down to the ground
We'll hear the birds sing in the trees
And the land will be looked after
We'll send the seeds out in the breeze
We're coming down
Comin' down to earth
Like babies at birth
Comin' down to earth
Redefine your priorities
These are extraordinary qualities
We're coming down to the ground
There's no better place to go
We've got snow upon the mountains
We've got rivers down below
We're coming down to the ground
We'll hear the birds sing in the trees
And the land will be looked after
We'll send the seeds out in the breeze
We're coming down to the ground
There's no better place to go
We've got snow upon the mountains
We've got rivers down below
We're coming down to the ground
We'll hear the birds sing in the trees
And the land will be looked after
We'll send the seeds out in the breeze"
2007,Falling Slowly,6EIVLz5xM1xE29r0OmIkWt,1,,"I don't know you
But I want you
All the more for that
Words fall through me
And always fool me
And I can't react
And games that never amount
To more than they're meant
Will play themselves out
Take this sinking boat and point it home
We've still got time
Raise your hopeful voice, you have a choice
You'll make it now
Falling slowly, eyes that know me
And I can't go back
And moods that take me and erase me
And I'm painted black
Well, you have suffered enough
And warred with yourself
It's time that you won
Take this sinking boat and point it home
We've still got time
Raise your hopeful voice, you have a choice
You've made it now
Falling slowly, sing your melody
I'll sing along
Take it all
I played the cards too late
Now you're gone"
2007,Raise It Up,2KQVINHAtTVz8f5DqkFy1Y,0,,"No father figure in the house
and I'm wonderin' how I'm gonna work it out
oh my friends keep on tellin' me how I don't need that man 
but they don't really understand
there's far too many presures in reality 
but dealing with the pain and stress and poverty
and I gotta be myself because there's nobody else for me (no)

(heading there with me)
sometimes it takes a different kind of love to raise a child
(so don't give up)
so don't give up
(when presures come down)
sometimes it takes a different kind of dream to make you smile
(so raise it up)
so raise
(hang in there with me)
sometimes we need another helping hand to show the ways
(so don't give up) 
so don't give up
(when presures come down)
sometimes it seems inpossible and that's why we pray
(so raise it up) 
we raise

[HOPE] 
seems to be nothing left for me 
mommas gone daddy didnt wanna be 
and now I'm all by myself wonderin where is love or
should I just give up you know

life falls down on me, cuts into my soul 
but I know I got the strength to make it throgh it all 
'cause I'm still standin tall
breaking throgh this wall im gonna give my all

[HOPE] 
feelin' like a motherless child 
hankered into my soul 
it's bringing me down cant find my smile 
on a face of a motherless child
gonna break down these walls gonna give it my all ya know
yeah yeah yeah yeahhhh

(hang in there with me)
sometimes it takes a different kind of love to raise a child
(so dont give up)
so dont give up
(when pressures come down)
sometimes it takes a different kind of dream to make a smile
(so raise it up) 
so raise it up
(hang in there with me) 
raise it up
sometimes it takes another helping hand to show you the way (oh oh ya)
(so dont give up, when presures come down)
[HOPE] sometimes it seems impossible thats why we pray
so raise it up"
2007,Happy Working Song,7G061Oqw7NXFr1NDTpXoI4,0,,"Come, my little friends
As we all sing a happy little working song
Merry little voices clear and strong
Come and roll your sleeves up so that we can pitch in
Cleaning crud up in the kitchen
As we sing along
Trill a cheery tune in the tub
As we scrub a stubborn mildew stain
Pluck a hairball from the shower drain
To the gay refrain of a happy working song
We'll keep singing without fail
Otherwise we'd spoil it
Hosing down the garbage pail
And scrubbing up the toilet, ooh
How we all enjoy letting loose
With a little la-da-da-dum-dum
While we're emptying the vacuum up
It's such fun to hum a happy working song
Ooh, a happy working song
Oh, how strange a place to be
'Till Edward comes for me, my heart is sighing
Still, as long as I am here
I guess a new experience could be worth trying
Hey, keep trying
You can do a lot when you got
Such a happy working tune to hum
While you're sponging up the soapy scum
We adore each filthy chore that we determine
So friends, even though you're vermin
We're a happy working song
Singing as we fetch the detergent box
For the smelly shirts and the stinky socks
Sing along, if you cannot sing then hum along
As we're finishing our happy working song
Ah, wasn't this fun?"
2007,So Close,3XFkhxO5jo2hBOWNzIQ9UB,0,,"You're in my arms
And all the world is calm
The music playing on for only two
So close together
And when I'm with you
So close to feeling alive
A life goes by
Romantic dreams must die
So I bid my goodbye
And never knew
So close, was waiting
Waiting here with you
And now, forever, I know
All that I wanted
To hold you so close
So close to reaching
That famous happy end
Almost believing
This one's not pretend
And now you're beside me
And look how far we've come
So far we are, so close
Oh how could I face the faceless days
If I should lose you now
We're so close to reaching
That famous happy end
Almost believing
This one's not pretend
Let's go on dreaming
For we know we are
So close, so close
And still so far"
2007,That's How You Know,1OzSfjFW08DTD51XoNnog7,0,,"How does she know you love her?
How does she know she's yours?
How does she know that you love her?
How do you show her you love her?
How does she know that you really, really, truly love her?
How does she know that you love her?
How do you show her you love her?
How does she know that you really, really, truly love her?
It's not enough to take the one you love for granted
You must remind her or she'll be inclined to say
How do I know he loves me?
How do I know he's mine?
Well, does he leave a little note to tell you
You are on his mind?
Send you yellow flowers when the sky is gray?
Hey
He'll find a new way to show you
A little bit everyday
That's how you know
That's how you know he is your love
You got to show her you need her
Don't treat her like a mind reader
Each day do something to lead her
To believe you love her
Everybody wants to live happily ever after
Everybody wants to know their true love is true
How do you know he loves you?
How do you know he's yours?
Well, does he take you out dancing
Just so he can hold you close?
Dedicate a song with words
Meant just for you?
Ooh
He'll find his own way to tell you
With the little things he'll do
That's how you know
That's how you know he's your love
He's your love
He's your love
That's how you know he loves you
That's how you know it's true
Because he'll wear your favorite color
Just so he can match your eyes
Rent a private picnic
By the fire's glow
Ohh
His heart will be yours forever
Something everyday will show
That's how you know
That's how you know
That's how you know
That's how you know
That's how you know
That's how you know he's your love
That's how she knows that you love her
That's how you show her you love her (That's how you know)
You've got to show her you need her
Don't treat her like a mind reader (That's how you know)
That's how she knows that you love her
That's how you know that you love her
It's not enough to take the one you love for granted (He's your love)"
2006,I Need to Wake Up,7mOfeDExZHCImmcmGYrv3T,1,,"Have I been sleeping?
I've been so still
Afraid of crumbling
Have I been careless?
Dismissing all the distant rumblings
Take me where I am supposed to be
To comprehend the things that I can't see
'Cause I need to move
I need to wake up
I need to change
I need to shake up
I need to speak out
Something's got to break up
I've been asleep
And I need to wake up
Now
And as a child
I danced like it was 1999
My dreams were wild
The promise of this new world
Would be mine
Now I am throwing off the carelessness of youth
To listen to an inconvenient truth
That I need to move
I need to wake up
I need to change
I need to shake up
I need to speak out
Something's got to break up
I've been asleep
And I need to wake up
Now
I am not an island
I am not alone
I am my intentions
Trapped here in this flesh and bone
And I need to move
I need to wake up
I need to change
I need to shake up
I need to speak out
Something's got to break up
I've been asleep
And I need to wake up
Now
I want to change
I need to shake up
I need to speak out
Oh, something's got to break up
I've been asleep
And I need to wake up
Now"
2006,Our Town,72V7HVj71eNXogp7y4gfVw,0,,"Long ago, but not so very long ago
The world was different, oh yes, it was
You settled down and you built a town and made it live
And you watched it grow, it was your town
Time goes by, time brings changes, you changed too
Nothing comes that you can't handle, so on you go
You never see it coming when the world caves in on you
On your town, nothing you can do
Main street isn't main street anymore
Lights don't shine as brightly as they shone before
To tell the truth, lights don't shine at all
In our town
Sun comes up each morning, just like it's always done
Get up, go to work, start the day
You open up for business that's never gonna come
As the world rolls by a million miles away
Main street isn't main street anymore
No one seems to need us like they did before
It's hard to find a reason left to stay
But it's our town, love it anyway
Come what may, it's our town"
2006,Listen,7eMZXKjVjXQoYGK93cCPC7,0,,"Listen to the song here in my heart
A melody I start but can't complete
Listen to the sound from deep within
Its only beginning to find release
Oh the time has come for my dreams to be heard
They will not be pushed aside and turned
Into your own, all 'cause you won't listen
Listen, I am alone at a crossroads
I'm not at home in my own home
And I've tried and tried
To say what's on my mind
You should have known
Now I'm done believing you
You don't know what I'm feeling
I'm more than what
You've made of me
I followed the voice, you gave to me
But now I've gotta find my own
You should have listened
There was someone here inside
Someone I thought had died
So long ago
Oh I'm screaming out
And my dreams will be heard
They will not be pushed aside or turned
Into your own
All 'cause you won't listen
Listen, I am alone at a crossroads
I'm not at home in my own home
And I've tried and tried
To say what's on my mind
You should have known
Now I'm done believing you
You don't know what I'm feeling
I'm more than what
You've made of me
I followed the voice, you gave to me
But now I've gotta find my own
I don't know where I belong
But I'll be moving on
If you don't, if you won't
Listen to the song here in my heart
A melody I start, but I will complete
Now I am done believing you
You don't know not what I am feeling
I'm more than what you've made of me
I followed the voice you think you gave to me
But now I got to find my own, my own"
2006,Love You I Do,4IjoD5u5E3Nv6ecnCpeWpy,0,,"I never met a man quite like you
Doing all he can, making my dreams come true
You're strong and you're smart, you've taken my heart
And I'll give you the rest of me too
You're the perfect man for me, I love you, I do
Mmm, I love ya
I never ever felt quite like this
Good about myself from my very first kiss
I'm here when you call, you've got it all
And confidence like I never knew
You're the perfect man for me, I love you, I do
You've got the charm, you simply disarm me every time
As long as you drive I'm along for the ride your way
You said it before, there won't be a door that's closed to us
I'm putting all my trust in you 'cause you, you'll always be true, oh!
I never could have known this would be
Oh, you and you alone, yeah, all for me
I know you're the best, you passed every test
It's almost too good to be true
You're the perfect man for me, I love you, I do
You're the perfect man for me, I love you, I do, do"
2006,Patience,4QlA6I79mxLNOvcgdlNeWx,0,,"Listen - I know you have questions
Same ones as me
How long has it been?
How long will it be?
When will come the morning
To drive the night away?
Tell Me - When will come the morning
Of a brighter day?
Oh Patience, little sister
Patience, little brother
Patience, patience
Take each other by the hand
Oh Patience, little sister
Patience, little brother
Let us walk together
To the Promised Land
There's a river to cross
And a mountain to climb
Patience, patience
It's gonna take some time
We must walk in peace (Eddie: 'We got to walk in peace')
It's the only - only way
If we want to see that morning
Of a brighter day
Patience, little sisters
Patience, little brothers
Patience, patience
We're gonna find a way
Patience, little sisters
Patience, little brothers
Until the morning
Of a brighter day, hey
Patience, patience
'Til that brighter day
Patience, patience
'Til that brighter day"
